"country","day","Cases","Deaths","DeathPercentage"
"Ukraine","2024-06-30","5557995","112418","2.0226358605936134"
"Uruguay","2024-06-30","1041111","7664","0.7361366847531147"
"Uzbekistan","2024-06-30","253662","1637","0.6453469577626921"
"Vanuatu","2024-06-30","12019","14","0.11648223645894001"
"Vatican-City","2024-06-30","29","null","null"
"Venezuela","2024-06-30","552695","5856","1.0595355485394296"
"Vietnam","2024-06-30","11625195","43206","0.37165828186107847"
"Wallis-and-Futuna","2024-06-30","3550","8","0.22535211267605634"
"Western-Sahara","2024-06-30","10","1","10"
"Yemen","2024-06-30","11945","2159","18.07450816241105"
"Zambia","2024-06-30","349304","4069","1.1648878913496554"
"Zimbabwe","2024-06-30","266359","5740","2.1549863154614637"
